FM	r2	RMSE
-0.011393939393939394	0.41069655437226626	0.0840395272069068
-0.010898989898989901	0.3326743615289244	0.09516613480923637
-0.010404040404040402	0.2405306670068983	0.10830658491212015
-0.009909090909090909	0.13426529443886615	0.1234609026669915
-0.009414141414141416	0.013878060169247752	0.14062911426464947
-0.008919191919191917	-0.12063077178089521	0.15981118205351513
-0.008424242424242424	-0.2692613775619681	0.18100713115408773
-0.007929292929292932	-0.4320137910921109	0.20421696640337358
-0.007434343434343432	-0.6088873152400507	0.22944058838470877
-0.00693939393939394	-0.7998830967142105	0.2566781606281633
-0.006444444444444447	-1.0050001821513956	0.28592954717628993
-0.0059494949494949476	-1.2242394194237187	0.3171948689426383
-0.005454545454545455	-1.457600279902386	0.3504740505403866
-0.004959595959595962	-1.7050829243638197	0.38576711489757737
-0.004464646464646463	-1.9666869463988341	0.42307400405691203
-0.00396969696969697	-2.242412698877654	0.4623947683405921
-0.0034747474747474777	-2.5322603315902903	0.5037294291099077
-0.002979797979797978	-2.836229479588531	0.5470779343202363
-0.0024848484848484856	-3.1543206655441667	0.5924403585088822
-0.001989898989898993	-3.4865332074288418	0.6398166044129819
-0.0014949494949494935	-3.832867463575967	0.6892067231338327
-0.001	-4.193323787878791	0.7406107651395276
