Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	sf	PDD
R15	2011-12-04	-62.1788734919	-58.90792111060001	54.0	17	0.11322	-1.287601	0.03373712	0.83135986
R15	2011-12-19	-62.1788734919	-58.90792111060001	54.0	15	-0.2712999999999999	0.65244484	0.014183918	11.1026
R15	2012-01-07	-62.1788734919	-58.90792111060001	54.0	19	-0.3491	0.16544037	0.035416454	5.6755676
R15	2012-01-20	-62.1788734919	-58.90792111060001	54.0	13	-0.2557999999999999	0.78596497	0.0068713743	11.0035095
R15	2012-02-04	-62.1788734919	-58.90792111060001	54.0	15	-0.3106	0.6712723	0.007514103	11.028595
R15	2012-02-19	-62.1788734919	-58.90792111060001	54.0	15	-0.3533	0.71588135	0.012092486	16.56427
R15	2012-03-04	-62.1788734919	-58.90792111060001	54.0	14	-0.246	-0.19967245	0.004307989	10.449402
R15	2012-03-17	-62.1788734919	-58.90792111060001	54.0	13	-0.369	1.3288248	0.0023677715	18.603546
R15	2012-03-30	-62.1788734919	-58.90792111060001	54.0	13	-0.0089999999999999	-1.0676553	0.020559724	2.1369019
R1	2007-12-09	-62.1776204178	-58.902405662700005	82.0	31	0.0704	-1.7845554	0.060473308	1.1364441
R1	2007-12-18	-62.1776204178	-58.902405662700005	82.0	9	-0.0210999999999999	-0.73689574	0.005512779	0.10684204
R1	2007-12-26	-62.1776204178	-58.902405662700005	82.0	8	-0.0825800000000001	-0.32072958	0.007125888	0.31225586
R1	2008-01-05	-62.1776204178	-58.902405662700005	82.0	10	-0.2147199999999999	0.40157527	0.009094913	5.6896667
R1	2008-01-12	-62.1776204178	-58.902405662700005	82.0	7	0.04209	-0.2830124	0.009206373	0.10406494
R1	2008-01-19	-62.1776204178	-58.902405662700005	82.0	7	-0.09521	0.061897278	0.0042865686	2.0400696
R1	2008-01-26	-62.1776204178	-58.902405662700005	82.0	7	-0.20348	1.494873	0.004887358	11.958984
R1	2008-02-02	-62.1776204178	-58.902405662700005	82.0	7	-0.08498	1.0834541	2.7733156e-05	8.667633
